"dummy"
"Text_01","Huh!"
"Text_02","You are stronger than when you intruded in my home."
"Text_03","Show me more of what you have learned."
"Text_04","It would be my pleasure."
"Text_05","What's going on?"
"Text_06","I am Nexus. That is my name. I bring unto the world harmony."
"Text_07","The Infinity Gate hath opened. Offer up thy woes, and the light shall be as thine eyes and thy flesh. "
"Text_08","What is that thing?"
"Text_09","Fear not. On the other side, all pain is forgotten."
"Text_10","No..."
"Text_11","Stop! Princess!"
