"dummy"
"Text_01","っはぁ、はぁ、はぁ……。
エリカさん、どこに行っちゃったんだろう……。
"
"Text_02","……。

"
"Text_03","……っ。
あなたは……！
"
"Text_04","お前は何者だ？

"
"Text_05","私はアリサですっ！
エリカさんとは、その、仲間ですっ！
エリカさんはどこですか！？"
"Text_06","……仲間？

"
"Text_07","はいっ！仲間なんですっ！
……エリカさんはそう思ってくれてないかもですけど、
でも、私はそう思ってます！"
"Text_08","……ではなぜ、お前は奴らと行動を共にしている。

"
"Text_09","だ、だって……！
それは、ブレイドライツ騎士団の皆さんが、
いい人たちだから……。"
"Text_10","……愚かな。

"
"Text_11","……っ！？
な、何をするんですかっ！
"
"Text_12","偽りの太陽に目が眩んだ者よ。
お前は何一つ分かっていない。
"
"Text_13","分かっていないって……。

"
"Text_14","語るに及ばず。
――排除する。
"
"Text_15","……っ！
あなたたちはどうしてっ！どうしてそうやって、
すぐにひどいことをしようとするんですか！"
"Text_16","

"
"Text_17","

"
"Text_18","

"
"Text_19","

"
"Text_20","

"
"Text_21","

"
"Text_22","

"
"Text_23","

"
"Text_24","

"
"Text_25","

"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
