        "Cht": {
            "SD_100011010_01": "",
            "SD_100011010_02": "",
            "SD_100011020_01": "",
            "SD_100011020_02": "",
            "SD_100011030_01": "",
            "SD_100011030_02": "",
            "SD_100011040_01": "",
            "SD_100011040_02": "",
            "SD_100011050_01": "[u][ffcd45]守護[-][/u] ",
            "SD_100011050_02": "[u][ffcd45]守護[-][/u] ",
            "SD_100012010": "自己的回合開始時，給予隨機1個自己的從者+1/+1效果。",
            "SD_100031010_01": "[u][ffcd45]攻擊時[-][/u] 給予敵方的主戰者2點傷害。\n自己的回合開始時，與自己戰場上的1個[u][ffcd45]被封印的雙子‧琉璃[-][/u]合體成為[u][ffcd45]烈焰‧琉璃[-][/u]。",
            "SD_100031010_02": "[u][ffcd45]攻擊時[-][/u] 給予敵方的主戰者2點傷害。\n自己的回合開始時，與自己戰場上的1個[u][ffcd45]被封印的雙子‧琉璃[-][/u]合體成為[u][ffcd45]烈焰‧琉璃[-][/u]。",
            "SD_100031020_01": "[u][ffcd45]攻擊時[-][/u] 給予敵方的從者全體1點傷害。\n自己的回合開始時，與自己戰場上的1個[u][ffcd45]被封印的雙子‧烈焰[-][/u]合體成為[u][ffcd45]烈焰‧琉璃[-][/u]。",
            "SD_100031020_02": "[u][ffcd45]攻擊時[-][/u] 給予敵方的從者全體1點傷害。\n自己的回合開始時，與自己戰場上的1個[u][ffcd45]被封印的雙子‧烈焰[-][/u]合體成為[u][ffcd45]烈焰‧琉璃[-][/u]。",
            "SD_100111010_01": "[u][ffcd45]謝幕曲[-][/u] 增加1張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100111010_02": "[u][ffcd45]謝幕曲[-][/u] 增加1張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100111020_01": "[u][ffcd45]入場曲[-][/u] 增加2張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100111020_02": "",
            "SD_100111030_01": "每當自己的其他從者進入戰場時，獲得+1/+0效果。",
            "SD_100111030_02": "每當自己的其他從者進入戰場時，獲得+1/+0效果。",
            "SD_100111040_01": "[u][ffcd45]入場曲[-][/u] 本回合中如果已經使用的卡片數為2張以上（不包含本卡片），則會獲得+1/+1與[u][ffcd45]守護[-][/u] 效果。",
            "SD_100111040_02": "",
            "SD_100111050_01": "[u][ffcd45]入場曲[-][/u] 本回合中如果已經使用的卡片數為2張以上（不包含本卡片），則會獲得+2/+2效果。",
            "SD_100111050_02": "",
            "SD_100111060_01": "[u][ffcd45]攻擊時[-][/u] 增加1張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100111060_02": "[u][ffcd45]攻擊時[-][/u] 增加1張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100111070_01": "[u][ffcd45]入場曲[-][/u] 給予隨機1個敵方的從者1點傷害。此行動將進行2次。",
            "SD_100111070_02": "",
            "SD_100114010": "給予1個敵方的從者2點傷害，\n並增加1張[u][ffcd45]妖精[-][/u]卡片到手牌中。",
            "SD_100121010_01": "[u][ffcd45]入場曲[-][/u] 本回合中如果已經使用的卡片數為2張以上（不包含本卡片），則會給予自己的從者全體\n+1/+1效果。",
            "SD_100121010_02": "",
            "SD_100121020_01": "[u][ffcd45]入場曲[-][/u] 本回合中如果已經使用的卡片數為2張以上（不包含本卡片），則會給予1個敵方的從者2點傷害。",
            "SD_100121020_02": "",
            "SD_100121030_01": "",
            "SD_100121030_02": "[u][ffcd45]進化時[-][/u] 使1個自己的其他從者或1個敵方的從者回到手牌中。",
            "SD_100211010_01": "[u][ffcd45]疾馳[-][/u] ",
            "SD_100211010_02": "[u][ffcd45]疾馳[-][/u] ",
            "SD_100211020_01": "[u][ffcd45]入場曲[-][/u] 召喚1個[u][ffcd45]騎士[-][/u]到戰場上。",
            "SD_100211020_02": "",
            "SD_100211030_01": "[u][ffcd45]入場曲[-][/u] 召喚1個[u][ffcd45]重裝騎士[-][/u]到戰場上。",
            "SD_100211030_02": "",
            "SD_100211040_01": "[u][ffcd45]入場曲[-][/u] 給予1個自己的士兵從者+2/+0效果。",
            "SD_100211040_02": "",
            "SD_100211050_01": "[u][ffcd45]潛行[-][/u] ",
            "SD_100211050_02": "[u][ffcd45]潛行[-][/u] ",
            "SD_100211060_01": "[u][ffcd45]潛行[-][/u] ",
            "SD_100211060_02": "[u][ffcd45]潛行[-][/u] ",
            "SD_100214010": "給予1個敵方的從者與「自己戰場上的從者數」等量的傷害。",
            "SD_100214020": "給予1個自己的從者+2/+2效果。",
            "SD_100221010_01": "",
            "SD_100221010_02": "[u][ffcd45]進化時[-][/u] 召喚1個[u][ffcd45]鐵甲騎士[-][/u]與1個[u][ffcd45]騎士[-][/u]到戰場上。",
            "SD_100221020_01": "[u][ffcd45]入場曲[-][/u] 給予自己的其他從者全體+1/+1效果。",
            "SD_100221020_02": "",
